sgRNA	gene	spleen1	spleen2	spleen3	spleen4	bonemarrow1	bonemarrow2	bonemarrow3	bonemarrow4	bonemarrow5	meninges1	meninges2	meninges3	meninges4	meninges5	input_rep1	input_rep2	input_rep3	d5_rep1	d5_rep2	d5_rep3	d15_rep1	d15_rep2	d15_rep3	plasmidlib
gRNA_1492	Bcor	357.0	1174.0	885.0	443.0	750.0	1939.0	1810.0	283.0	453.0	874.0	226.0	83.0	202.0	260.0	922.0	830.0	1128.0	633.0	804.0	1090.0	989.0	902.0	1357.0	620.0
gRNA_1545	Braf	236.0	976.0	349.0	364.0	1969.0	2192.0	913.0	456.0	274.0	124.0	88.0	338.0	390.0	349.0	133.0	845.0	618.0	1081.0	953.0	698.0	694.0	602.0	765.0	517.0
gRNA_1548	Braf	176.0	952.0	406.0	609.0	1075.0	5220.0	5659.0	1102.0	607.0	183.0	267.0	249.0	136.0	60.0	159.0	719.0	1017.0	892.0	1076.0	785.0	1180.0	685.0	804.0	452.0
gRNA_1549	Braf	276.0	574.0	686.0	1019.0	1260.0	1169.0	652.0	288.0	433.0	728.0	856.0	8651.0	1582.0	574.0	114.0	583.0	879.0	1414.0	804.0	815.0	780.0	584.0	738.0	500.0
gRNA_1550	Braf	110.0	508.0	213.0	225.0	661.0	737.0	535.0	128.0	601.0	360.0	187.0	296.0	451.0	90.0	164.0	808.0	481.0	1086.0	1486.0	562.0	567.0	297.0	376.0	651.0
gRNA_1551	Braf	2426.0	4432.0	1883.0	1553.0	3365.0	4587.0	3460.0	1607.0	3966.0	117.0	2201.0	343.0	869.0	1392.0	582.0	866.0	1025.0	793.0	1035.0	1194.0	1173.0	654.0	972.0	665.0
gRNA_1552	Braf	260.0	1358.0	183.0	395.0	1005.0	2015.0	714.0	383.0	752.0	176.0	700.0	695.0	151.0	151.0	196.0	1132.0	1400.0	1173.0	735.0	799.0	480.0	426.0	463.0	746.0
gRNA_1558	Braf	372.0	1223.0	421.0	554.0	4925.0	3046.0	1288.0	1401.0	1060.0	614.0	633.0	282.0	2774.0	210.0	795.0	833.0	1285.0	939.0	1243.0	943.0	928.0	644.0	1308.0	961.0
gRNA_1559	Braf	817.0	992.0	701.0	602.0	777.0	366.0	749.0	293.0	435.0	656.0	44.0	208.0	704.0	650.0	610.0	827.0	1070.0	684.0	732.0	650.0	1011.0	553.0	868.0	625.0
gRNA_1569	Braf	453.0	1422.0	832.0	1277.0	976.0	2505.0	1279.0	3498.0	2232.0	526.0	114.0	819.0	372.0	855.0	482.0	895.0	1299.0	1387.0	1643.0	853.0	1150.0	979.0	1040.0	674.0
gRNA_1570	Braf	582.0	870.0	605.0	735.0	1528.0	1360.0	3933.0	521.0	822.0	593.0	315.0	246.0	1025.0	141.0	322.0	1016.0	1166.0	1323.0	1037.0	870.0	1246.0	916.0	1538.0	536.0
gRNA_1573	Braf	118.0	62.0	17.0	183.0	1699.0	503.0	1479.0	66.0	15.0	2.0	110.0	81.0	248.0	13.0	91.0	203.0	89.0	83.0	374.0	244.0	166.0	138.0	156.0	265.0
gRNA_1583	Brca1	290.0	1658.0	572.0	596.0	616.0	2035.0	293.0	212.0	1257.0	113.0	658.0	66.0	521.0	194.0	480.0	984.0	842.0	1090.0	888.0	978.0	841.0	584.0	997.0	593.0
gRNA_1588	Brca2	811.0	1966.0	1037.0	1545.0	1690.0	1144.0	2047.0	553.0	1020.0	27.0	674.0	63.0	160.0	1018.0	181.0	872.0	946.0	1067.0	883.0	978.0	781.0	488.0	866.0	415.0
gRNA_1590	Brca2	378.0	1139.0	671.0	862.0	1096.0	2338.0	585.0	899.0	1029.0	633.0	479.0	108.0	1347.0	1654.0	1079.0	1142.0	1683.0	2200.0	1305.0	1234.0	1073.0	931.0	1540.0	1037.0
gRNA_1591	Brca2	329.0	731.0	668.0	699.0	960.0	982.0	1005.0	286.0	744.0	218.0	2073.0	78.0	351.0	244.0	767.0	847.0	764.0	1243.0	840.0	886.0	852.0	647.0	1046.0	903.0
gRNA_1592	Brca2	162.0	1682.0	416.0	468.0	387.0	4003.0	929.0	529.0	1118.0	1855.0	99.0	666.0	264.0	9187.0	180.0	584.0	516.0	806.0	658.0	366.0	448.0	288.0	394.0	457.0
gRNA_1696	Btk	824.0	2040.0	967.0	1394.0	2713.0	5855.0	1638.0	580.0	999.0	443.0	727.0	1118.0	1346.0	428.0	959.0	895.0	1209.0	1715.0	1625.0	1144.0	1001.0	633.0	1483.0	766.0
gRNA_1725	Card11	253.0	491.0	210.0	494.0	296.0	505.0	342.0	156.0	374.0	268.0	22.0	489.0	262.0	130.0	124.0	564.0	312.0	240.0	566.0	332.0	435.0	352.0	536.0	501.0
gRNA_1726	Card11	1100.0	958.0	467.0	246.0	628.0	487.0	222.0	202.0	489.0	219.0	249.0	280.0	963.0	101.0	16.0	315.0	151.0	527.0	347.0	418.0	333.0	231.0	341.0	380.0
gRNA_1733	Card11	126.0	404.0	434.0	396.0	587.0	389.0	430.0	212.0	333.0	135.0	733.0	43.0	2064.0	150.0	414.0	797.0	711.0	997.0	894.0	711.0	1077.0	733.0	1045.0	577.0
gRNA_1738	Card11	166.0	612.0	287.0	273.0	702.0	1236.0	706.0	167.0	254.0	427.0	107.0	79.0	75.0	56.0	213.0	579.0	495.0	546.0	314.0	490.0	617.0	543.0	554.0	359.0
gRNA_1817	Card11	305.0	1358.0	570.0	967.0	1286.0	1882.0	2667.0	1502.0	635.0	208.0	80.0	547.0	1198.0	72.0	952.0	737.0	998.0	687.0	1291.0	835.0	743.0	665.0	892.0	548.0
gRNA_1848	Carm1	80.0	125.0	31.0	129.0	171.0	380.0	132.0	195.0	625.0	1.0	324.0	72.0	94.0	3.0	89.0	150.0	235.0	314.0	333.0	227.0	411.0	215.0	208.0	164.0
gRNA_1855	Casp8	218.0	1227.0	337.0	275.0	625.0	2146.0	728.0	248.0	669.0	229.0	365.0	67.0	1084.0	327.0	296.0	732.0	967.0	987.0	922.0	745.0	697.0	809.0	1186.0	607.0
gRNA_1857	Casp8	171.0	1241.0	257.0	413.0	1028.0	1591.0	426.0	168.0	489.0	186.0	459.0	174.0	1114.0	1394.0	415.0	644.0	1029.0	851.0	986.0	1013.0	1111.0	856.0	929.0	452.0
gRNA_1858	Casp8	192.0	721.0	433.0	664.0	337.0	353.0	857.0	102.0	561.0	96.0	436.0	1010.0	181.0	26.0	223.0	557.0	590.0	617.0	507.0	461.0	573.0	431.0	475.0	454.0
gRNA_1871	Cbfb	282.0	1801.0	258.0	637.0	1861.0	1384.0	1186.0	915.0	890.0	264.0	418.0	54.0	2349.0	311.0	1072.0	1120.0	1660.0	1453.0	1648.0	1135.0	1478.0	1035.0	1208.0	778.0
gRNA_1875	Cbfb	294.0	1056.0	387.0	337.0	703.0	1157.0	1596.0	511.0	364.0	830.0	713.0	77.0	1127.0	647.0	495.0	707.0	1095.0	946.0	1066.0	791.0	757.0	687.0	738.0	504.0
gRNA_1876	Cbfb	115.0	174.0	209.0	162.0	224.0	387.0	252.0	87.0	562.0	76.0	138.0	593.0	149.0	149.0	170.0	507.0	585.0	738.0	618.0	394.0	423.0	177.0	260.0	326.0
gRNA_1882	Cbl	195.0	387.0	328.0	218.0	429.0	297.0	670.0	107.0	146.0	181.0	52.0	9956.0	342.0	389.0	308.0	643.0	704.0	875.0	507.0	770.0	565.0	273.0	635.0	544.0
gRNA_1898	Cbl	402.0	884.0	762.0	1213.0	1024.0	2061.0	2338.0	628.0	335.0	796.0	192.0	1501.0	4037.0	1174.0	536.0	769.0	866.0	537.0	908.0	895.0	697.0	522.0	612.0	456.0
gRNA_1901	Cbl	350.0	1667.0	313.0	368.0	1545.0	1023.0	658.0	334.0	219.0	3092.0	1088.0	201.0	612.0	598.0	590.0	970.0	1302.0	1174.0	2610.0	1427.0	1309.0	998.0	1397.0	583.0
gRNA_1904	Cbl	121.0	283.0	51.0	77.0	101.0	300.0	314.0	54.0	114.0	8.0	50.0	12.0	38.0	53.0	133.0	412.0	95.0	324.0	237.0	222.0	312.0	224.0	208.0	577.0
gRNA_1905	Cbl	158.0	224.0	76.0	191.0	294.0	471.0	96.0	108.0	374.0	183.0	338.0	48.0	32.0	62.0	296.0	239.0	203.0	361.0	643.0	201.0	193.0	198.0	398.0	711.0
gRNA_1906	Cbl	707.0	1368.0	389.0	556.0	612.0	764.0	645.0	322.0	782.0	218.0	55.0	4194.0	961.0	678.0	288.0	657.0	935.0	1265.0	925.0	742.0	906.0	742.0	1060.0	598.0
gRNA_1925	Ccnd1	787.0	3125.0	745.0	1061.0	1262.0	4786.0	2429.0	1118.0	843.0	449.0	651.0	1604.0	1040.0	1564.0	1795.0	1379.0	2057.0	1681.0	1790.0	1631.0	1769.0	1486.0	2256.0	1347.0
gRNA_1928	Ccnd1	67.0	158.0	104.0	55.0	49.0	125.0	70.0	29.0	95.0	97.0	21.0	0.0	23.0	28.0	40.0	231.0	90.0	46.0	80.0	43.0	54.0	43.0	26.0	450.0
gRNA_1929	Ccnd1	8.0	69.0	41.0	18.0	92.0	24.0	172.0	44.0	126.0	15.0	7.0	23.0	469.0	32.0	47.0	65.0	153.0	69.0	72.0	151.0	163.0	134.0	75.0	83.0
gRNA_1930	Ccnd1	63.0	64.0	46.0	62.0	123.0	1246.0	164.0	217.0	108.0	180.0	42.0	25.0	298.0	67.0	84.0	299.0	130.0	101.0	175.0	137.0	281.0	209.0	263.0	524.0
gRNA_1953	Ccnd3	373.0	917.0	410.0	885.0	1167.0	2230.0	650.0	1157.0	421.0	193.0	65.0	162.0	1422.0	1540.0	336.0	634.0	540.0	909.0	522.0	385.0	474.0	521.0	438.0	770.0
gRNA_1961	Ccnd3	196.0	1231.0	864.0	638.0	583.0	1606.0	429.0	334.0	641.0	439.0	115.0	429.0	256.0	4531.0	486.0	716.0	601.0	560.0	538.0	709.0	714.0	457.0	814.0	619.0
gRNA_1962	Ccnd3	1019.0	1216.0	682.0	560.0	889.0	1485.0	758.0	253.0	286.0	375.0	140.0	216.0	1276.0	1756.0	392.0	757.0	528.0	765.0	811.0	617.0	962.0	720.0	1198.0	745.0
gRNA_1963	Ccnd3	643.0	2102.0	540.0	1623.0	2700.0	3336.0	995.0	635.0	870.0	1680.0	1660.0	613.0	13708.0	271.0	676.0	1044.0	839.0	1290.0	1671.0	981.0	1371.0	1205.0	1918.0	992.0
gRNA_1972	Cd79a	350.0	987.0	367.0	862.0	1004.0	631.0	1259.0	255.0	1358.0	462.0	2269.0	75.0	822.0	263.0	763.0	793.0	778.0	680.0	1248.0	736.0	801.0	502.0	991.0	583.0
gRNA_1973	Cd79a	585.0	842.0	456.0	341.0	1352.0	2135.0	2464.0	411.0	483.0	151.0	629.0	204.0	1369.0	3767.0	448.0	800.0	736.0	709.0	1318.0	720.0	826.0	573.0	913.0	739.0
gRNA_1977	Cd79a	316.0	943.0	292.0	470.0	481.0	743.0	337.0	387.0	915.0	151.0	361.0	220.0	264.0	59.0	117.0	564.0	237.0	644.0	941.0	385.0	522.0	385.0	528.0	507.0
gRNA_1978	Cd79a	448.0	454.0	927.0	720.0	535.0	549.0	399.0	382.0	382.0	256.0	16.0	88.0	422.0	81.0	157.0	397.0	520.0	194.0	278.0	363.0	270.0	282.0	321.0	383.0
gRNA_1980	Cd79b	143.0	736.0	91.0	272.0	364.0	458.0	425.0	64.0	266.0	345.0	360.0	81.0	497.0	95.0	263.0	433.0	330.0	351.0	584.0	349.0	419.0	277.0	478.0	519.0
gRNA_1981	Cd79b	465.0	1949.0	772.0	1207.0	1508.0	1491.0	2028.0	1652.0	1667.0	2145.0	606.0	1257.0	1329.0	573.0	1167.0	1593.0	1665.0	1814.0	1826.0	1709.0	1670.0	1284.0	1972.0	1520.0
gRNA_1983	Cd79b	233.0	759.0	84.0	209.0	1169.0	566.0	404.0	123.0	631.0	226.0	119.0	349.0	329.0	21.0	805.0	721.0	949.0	677.0	827.0	1171.0	743.0	441.0	795.0	455.0
gRNA_1984	Cd79b	412.0	729.0	413.0	622.0	1094.0	1039.0	911.0	1011.0	744.0	573.0	472.0	144.0	1051.0	1060.0	1595.0	1197.0	1975.0	2551.0	1767.0	1377.0	1460.0	1118.0	2005.0	919.0
gRNA_1985	Cd79b	778.0	2136.0	1584.0	646.0	3940.0	3685.0	1206.0	389.0	2528.0	1403.0	2629.0	1023.0	1212.0	1582.0	1904.0	1711.0	2258.0	2483.0	2210.0	2167.0	1682.0	1298.0	1902.0	872.0
gRNA_1989	Cdc73	559.0	1250.0	612.0	1062.0	1388.0	2354.0	1058.0	1005.0	576.0	431.0	322.0	2848.0	791.0	319.0	235.0	802.0	879.0	1425.0	895.0	1051.0	1205.0	893.0	1270.0	472.0
gRNA_1994	Cdc73	262.0	799.0	274.0	426.0	424.0	579.0	230.0	298.0	465.0	1895.0	580.0	675.0	824.0	255.0	713.0	778.0	719.0	1642.0	1360.0	889.0	913.0	416.0	784.0	661.0
gRNA_1995	Cdc73	162.0	702.0	581.0	290.0	1006.0	1006.0	1258.0	152.0	453.0	385.0	94.0	164.0	810.0	224.0	595.0	646.0	416.0	580.0	974.0	837.0	655.0	502.0	847.0	527.0
gRNA_1996	Cdc73	89.0	538.0	220.0	195.0	230.0	3729.0	260.0	142.0	485.0	158.0	192.0	119.0	57.0	53.0	109.0	534.0	380.0	424.0	394.0	411.0	406.0	243.0	404.0	439.0
gRNA_2011	Cdh1	419.0	2784.0	282.0	365.0	388.0	4995.0	1204.0	244.0	329.0	206.0	1001.0	3490.0	126.0	68.0	73.0	388.0	321.0	835.0	431.0	232.0	564.0	487.0	438.0	328.0
gRNA_2012	Cdh1	421.0	1590.0	549.0	497.0	1237.0	6621.0	761.0	1580.0	683.0	287.0	431.0	2718.0	709.0	525.0	336.0	761.0	610.0	1445.0	1307.0	688.0	665.0	657.0	965.0	503.0
gRNA_2043	Cdk12	1397.0	4592.0	2852.0	3266.0	3334.0	3258.0	3408.0	2885.0	1405.0	429.0	778.0	2509.0	2175.0	759.0	224.0	934.0	1524.0	1380.0	1205.0	1127.0	975.0	863.0	1466.0	673.0
gRNA_2044	Cdk12	108.0	221.0	255.0	296.0	1084.0	1015.0	639.0	694.0	1592.0	33.0	64.0	21.0	145.0	56.0	127.0	417.0	534.0	737.0	888.0	555.0	706.0	372.0	536.0	309.0
gRNA_2105	Cdk8	127.0	810.0	75.0	90.0	345.0	134.0	73.0	18.0	21.0	466.0	706.0	31.0	263.0	104.0	20.0	328.0	216.0	290.0	214.0	305.0	196.0	150.0	165.0	241.0
gRNA_2133	Chek2	203.0	552.0	253.0	217.0	644.0	817.0	1038.0	629.0	976.0	276.0	252.0	217.0	348.0	283.0	550.0	879.0	692.0	719.0	1165.0	523.0	722.0	655.0	686.0	644.0
gRNA_2134	Chek2	575.0	878.0	353.0	794.0	880.0	792.0	687.0	194.0	752.0	200.0	28.0	623.0	10354.0	309.0	207.0	453.0	353.0	349.0	478.0	382.0	704.0	273.0	631.0	373.0
gRNA_2135	Chek2	307.0	527.0	111.0	304.0	446.0	721.0	623.0	124.0	372.0	259.0	586.0	553.0	138.0	2082.0	214.0	491.0	550.0	803.0	923.0	594.0	525.0	302.0	618.0	420.0
gRNA_2154	Cic	611.0	1867.0	839.0	873.0	1454.0	1642.0	1787.0	1184.0	1411.0	350.0	592.0	846.0	556.0	94.0	1008.0	1246.0	1544.0	1568.0	1092.0	797.0	1516.0	846.0	1388.0	969.0
gRNA_2202	Cic	461.0	1290.0	700.0	755.0	1113.0	1640.0	1210.0	413.0	1913.0	418.0	560.0	247.0	891.0	428.0	906.0	1144.0	1263.0	1250.0	1830.0	1405.0	1519.0	1033.0	1525.0	536.0
gRNA_2203	Cic	412.0	2050.0	621.0	628.0	1487.0	2301.0	3749.0	406.0	1015.0	126.0	1387.0	739.0	181.0	264.0	253.0	1181.0	1235.0	1576.0	1169.0	878.0	1046.0	870.0	1570.0	600.0
gRNA_2215	Crebbp	41.0	56.0	125.0	99.0	252.0	223.0	59.0	95.0	135.0	15.0	43.0	29.0	322.0	84.0	227.0	429.0	332.0	672.0	660.0	469.0	910.0	548.0	725.0	364.0
gRNA_2234	Crebbp	266.0	928.0	258.0	325.0	488.0	1094.0	430.0	313.0	479.0	169.0	166.0	117.0	154.0	77.0	529.0	1313.0	1127.0	1166.0	1267.0	1756.0	2100.0	1271.0	2563.0	1073.0
gRNA_2240	Crebbp	89.0	222.0	264.0	20.0	287.0	200.0	155.0	123.0	125.0	27.0	16.0	989.0	730.0	18.0	537.0	736.0	744.0	799.0	1037.0	673.0	1151.0	622.0	1182.0	558.0
gRNA_2265	Crebbp	242.0	426.0	560.0	127.0	1482.0	792.0	5487.0	3654.0	1639.0	430.0	3425.0	152.0	131.0	63.0	201.0	340.0	370.0	756.0	641.0	460.0	761.0	434.0	545.0	452.0
gRNA_2268	Crebbp	159.0	349.0	203.0	258.0	300.0	288.0	115.0	116.0	237.0	99.0	103.0	25.0	751.0	313.0	89.0	397.0	499.0	567.0	536.0	475.0	572.0	404.0	436.0	407.0
gRNA_2269	Crebbp	252.0	268.0	184.0	226.0	452.0	343.0	354.0	65.0	305.0	448.0	1045.0	282.0	656.0	1143.0	26.0	464.0	470.0	337.0	453.0	433.0	777.0	552.0	563.0	404.0
gRNA_2270	Crebbp	445.0	428.0	612.0	1192.0	1706.0	502.0	778.0	388.0	412.0	336.0	177.0	882.0	371.0	6887.0	49.0	656.0	770.0	716.0	414.0	752.0	873.0	522.0	581.0	341.0
gRNA_2281	Crebbp	222.0	888.0	730.0	961.0	791.0	2204.0	1059.0	1072.0	886.0	163.0	522.0	2771.0	614.0	276.0	928.0	1332.0	1177.0	1424.0	1121.0	1419.0	1369.0	1121.0	1747.0	1331.0
gRNA_2284	Crebbp	222.0	1252.0	354.0	776.0	636.0	515.0	806.0	114.0	302.0	368.0	114.0	127.0	1674.0	349.0	406.0	893.0	1001.0	1015.0	1055.0	815.0	952.0	776.0	986.0	661.0
gRNA_2285	Crebbp	321.0	867.0	392.0	530.0	670.0	1783.0	986.0	485.0	553.0	559.0	403.0	706.0	919.0	602.0	658.0	773.0	933.0	825.0	837.0	1097.0	1008.0	638.0	988.0	686.0
gRNA_2292	Crebbp	434.0	1762.0	545.0	744.0	704.0	2010.0	828.0	402.0	533.0	1315.0	1557.0	1096.0	878.0	414.0	792.0	935.0	1109.0	1503.0	1341.0	966.0	999.0	1149.0	1461.0	774.0
gRNA_2293	Crebbp	611.0	2879.0	966.0	1186.0	1411.0	7072.0	1785.0	734.0	893.0	1934.0	204.0	818.0	3936.0	449.0	598.0	1178.0	1428.0	2218.0	1704.0	1664.0	1556.0	1032.0	1680.0	779.0
gRNA_2294	Crebbp	325.0	521.0	402.0	626.0	1454.0	1438.0	912.0	571.0	347.0	332.0	446.0	656.0	1305.0	680.0	1180.0	1168.0	1717.0	1544.0	1106.0	1521.0	1317.0	941.0	1709.0	903.0
gRNA_2297	Crebbp	381.0	1017.0	620.0	639.0	1606.0	3719.0	487.0	243.0	945.0	490.0	424.0	311.0	462.0	1059.0	747.0	1037.0	1058.0	1451.0	1606.0	1415.0	1656.0	1364.0	2286.0	1155.0
gRNA_2298	Crebbp	727.0	909.0	327.0	529.0	741.0	1347.0	269.0	216.0	284.0	374.0	418.0	29.0	950.0	1197.0	299.0	759.0	660.0	608.0	1193.0	376.0	871.0	557.0	867.0	636.0
gRNA_2316	Crebbp	102.0	942.0	290.0	186.0	532.0	1227.0	1261.0	168.0	575.0	419.0	120.0	332.0	423.0	51.0	261.0	572.0	406.0	772.0	432.0	600.0	622.0	420.0	447.0	361.0
gRNA_2326	Crebbp	271.0	415.0	282.0	491.0	1391.0	759.0	333.0	177.0	284.0	172.0	48.0	240.0	785.0	9.0	186.0	691.0	646.0	777.0	763.0	716.0	880.0	572.0	733.0	403.0
gRNA_2384	Csf3r	95.0	854.0	249.0	373.0	187.0	964.0	404.0	247.0	328.0	41.0	285.0	77.0	1903.0	932.0	67.0	423.0	310.0	342.0	594.0	441.0	475.0	292.0	410.0	418.0
gRNA_2385	Csf3r	311.0	476.0	272.0	306.0	4110.0	1835.0	1059.0	1949.0	3709.0	215.0	139.0	621.0	895.0	3203.0	257.0	631.0	573.0	999.0	997.0	674.0	925.0	729.0	906.0	702.0
gRNA_2386	Csf3r	548.0	912.0	373.0	979.0	396.0	353.0	335.0	98.0	335.0	133.0	90.0	1235.0	349.0	135.0	241.0	473.0	481.0	667.0	1038.0	477.0	718.0	305.0	630.0	630.0
gRNA_2387	Csf3r	659.0	2053.0	684.0	717.0	989.0	1930.0	611.0	230.0	942.0	1254.0	688.0	97.0	391.0	96.0	330.0	805.0	736.0	979.0	966.0	459.0	754.0	648.0	786.0	609.0
gRNA_2388	Csf3r	186.0	756.0	350.0	249.0	1577.0	1700.0	675.0	314.0	363.0	170.0	248.0	3742.0	110.0	237.0	110.0	746.0	358.0	735.0	600.0	401.0	567.0	379.0	436.0	490.0
gRNA_2398	Ctcf	0.0	0.0	12.0	13.0	0.0	5.0	0.0	4.0	0.0	2.0	0.0	92.0	1.0	0.0	13.0	19.0	30.0	10.0	14.0	17.0	18.0	0.0	63.0	23.0
gRNA_2399	Ctcf	374.0	1066.0	403.0	471.0	1272.0	812.0	612.0	1071.0	596.0	1759.0	595.0	1624.0	795.0	1087.0	527.0	1004.0	1184.0	1324.0	1053.0	943.0	1023.0	848.0	1060.0	611.0
gRNA_2401	Ctcf	13.0	77.0	42.0	17.0	438.0	21.0	44.0	23.0	332.0	2.0	8.0	0.0	15.0	36.0	38.0	43.0	27.0	42.0	294.0	70.0	103.0	95.0	140.0	48.0
gRNA_2415	Ctcf	189.0	1714.0	285.0	659.0	1152.0	1781.0	573.0	561.0	1035.0	623.0	334.0	3526.0	672.0	185.0	512.0	789.0	914.0	996.0	1016.0	1271.0	1022.0	704.0	1221.0	603.0
gRNA_2416	Ctcf	684.0	1225.0	646.0	1121.0	2887.0	1489.0	1519.0	827.0	2203.0	1414.0	211.0	3051.0	1034.0	731.0	1715.0	1913.0	2032.0	2398.0	2467.0	2183.0	2027.0	1488.0	2126.0	1176.0
gRNA_2417	Ctcf	512.0	861.0	305.0	1016.0	1284.0	2217.0	665.0	441.0	1157.0	6763.0	292.0	197.0	1161.0	212.0	573.0	937.0	788.0	1234.0	1282.0	1306.0	1034.0	747.0	1476.0	868.0
gRNA_2440	Ctcf	112.0	432.0	74.0	46.0	169.0	615.0	300.0	69.0	582.0	7.0	2.0	35.0	92.0	206.0	888.0	1017.0	1058.0	569.0	583.0	479.0	230.0	370.0	397.0	938.0
gRNA_2441	Ctcf	470.0	1021.0	991.0	302.0	1082.0	790.0	5830.0	342.0	467.0	294.0	308.0	298.0	192.0	184.0	435.0	875.0	485.0	803.0	1479.0	626.0	1251.0	685.0	1231.0	900.0
gRNA_2445	Ctnnb1	585.0	1554.0	951.0	1075.0	1331.0	1613.0	3702.0	496.0	2856.0	1448.0	215.0	3756.0	3324.0	1883.0	627.0	1025.0	1416.0	1043.0	1641.0	1258.0	1232.0	880.0	1681.0	736.0
gRNA_2446	Ctnnb1	457.0	1383.0	416.0	616.0	1259.0	999.0	1245.0	170.0	203.0	229.0	28.0	180.0	500.0	74.0	155.0	621.0	631.0	880.0	468.0	433.0	577.0	510.0	777.0	392.0
gRNA_2457	Ctnnb1	358.0	760.0	296.0	213.0	937.0	848.0	198.0	196.0	173.0	164.0	17.0	1218.0	316.0	232.0	754.0	852.0	901.0	625.0	1132.0	438.0	556.0	423.0	645.0	984.0
gRNA_2458	Ctnnb1	28.0	213.0	24.0	55.0	112.0	264.0	167.0	342.0	67.0	98.0	40.0	70.0	126.0	147.0	173.0	660.0	450.0	159.0	371.0	106.0	276.0	141.0	310.0	476.0
gRNA_2466	Ctnnb1	1230.0	1582.0	459.0	583.0	3569.0	2607.0	1387.0	454.0	1395.0	70.0	32.0	84.0	1100.0	1085.0	800.0	1028.0	941.0	990.0	1192.0	1072.0	974.0	680.0	1031.0	742.0
gRNA_2472	Ctnnb1	89.0	203.0	276.0	325.0	305.0	457.0	308.0	128.0	93.0	57.0	43.0	161.0	42.0	67.0	121.0	476.0	294.0	264.0	220.0	115.0	123.0	108.0	71.0	439.0
gRNA_2473	Ctnnb1	166.0	783.0	211.0	233.0	306.0	484.0	452.0	359.0	237.0	24.0	35.0	50.0	86.0	85.0	365.0	620.0	403.0	262.0	258.0	212.0	206.0	186.0	275.0	546.0
gRNA_2474	Ctnnb1	266.0	1500.0	576.0	1895.0	174.0	735.0	310.0	236.0	174.0	10.0	18.0	16.0	691.0	5.0	54.0	358.0	73.0	108.0	201.0	237.0	111.0	74.0	142.0	439.0
gRNA_2494	Ctnnb1	64.0	101.0	31.0	45.0	90.0	309.0	39.0	164.0	97.0	36.0	13.0	37.0	104.0	1.0	340.0	607.0	496.0	257.0	232.0	73.0	69.0	143.0	374.0	590.0
gRNA_2521	Cul3	276.0	103.0	343.0	205.0	5086.0	446.0	316.0	105.0	205.0	406.0	77.0	51.0	795.0	101.0	149.0	455.0	412.0	592.0	620.0	575.0	467.0	272.0	585.0	363.0
gRNA_2526	Cul3	198.0	321.0	119.0	420.0	342.0	482.0	577.0	205.0	108.0	86.0	121.0	67.0	485.0	6532.0	193.0	591.0	769.0	905.0	539.0	566.0	840.0	441.0	974.0	479.0
gRNA_2527	Cul3	198.0	324.0	383.0	252.0	596.0	974.0	437.0	175.0	225.0	51.0	147.0	144.0	1164.0	148.0	166.0	340.0	484.0	125.0	500.0	552.0	596.0	337.0	345.0	218.0
gRNA_2568	Daxx	282.0	935.0	317.0	462.0	459.0	1148.0	505.0	1048.0	716.0	867.0	470.0	445.0	1036.0	275.0	343.0	808.0	712.0	1544.0	1490.0	878.0	851.0	976.0	826.0	839.0
gRNA_2569	Daxx	390.0	632.0	308.0	274.0	2570.0	3351.0	780.0	410.0	569.0	3550.0	775.0	1262.0	81.0	162.0	65.0	212.0	96.0	1224.0	667.0	694.0	844.0	542.0	1031.0	275.0
gRNA_2620	Dicer1	673.0	971.0	409.0	641.0	1396.0	2697.0	1641.0	304.0	2050.0	1120.0	1133.0	405.0	1456.0	1141.0	1199.0	1498.0	1824.0	1527.0	1520.0	1554.0	1734.0	1159.0	1638.0	964.0
gRNA_2645	Dis3	18.0	46.0	27.0	25.0	51.0	24.0	115.0	20.0	32.0	49.0	1.0	2.0	2.0	219.0	34.0	162.0	100.0	92.0	33.0	82.0	25.0	25.0	31.0	310.0
gRNA_2648	Dis3	66.0	283.0	194.0	209.0	255.0	359.0	842.0	231.0	1814.0	380.0	37.0	33.0	233.0	1143.0	370.0	735.0	534.0	998.0	742.0	509.0	739.0	332.0	383.0	628.0
gRNA_2649	Dis3	320.0	1093.0	235.0	618.0	1587.0	3379.0	3075.0	766.0	1498.0	103.0	489.0	1272.0	3566.0	808.0	1252.0	1580.0	1477.0	1505.0	1078.0	1055.0	1519.0	899.0	1193.0	1125.0
gRNA_2657	Dis3	232.0	704.0	345.0	605.0	955.0	1918.0	691.0	367.0	458.0	186.0	644.0	677.0	320.0	330.0	842.0	1060.0	762.0	923.0	1076.0	925.0	1203.0	866.0	1385.0	753.0
gRNA_2658	Dis3	268.0	692.0	336.0	615.0	1677.0	1804.0	201.0	1511.0	2232.0	84.0	75.0	1614.0	46.0	69.0	69.0	553.0	199.0	503.0	639.0	345.0	515.0	258.0	588.0	504.0
gRNA_2671	Dnmt1	40.0	200.0	28.0	37.0	141.0	129.0	38.0	31.0	31.0	38.0	121.0	113.0	75.0	116.0	78.0	155.0	70.0	113.0	192.0	66.0	150.0	122.0	192.0	235.0
gRNA_2679	Dnmt3a	281.0	766.0	98.0	323.0	516.0	820.0	526.0	238.0	650.0	263.0	234.0	1509.0	3388.0	841.0	317.0	470.0	554.0	960.0	1068.0	738.0	683.0	568.0	773.0	500.0
