sgRNA	gene	spleen1	spleen2	spleen3	spleen4	spleen5	spleen6	spleen7	spleen8	spleen9	bonemarrow1	bonemarrow2	bonemarrow3	bonemarrow4	bonemarrow5	bonemarrow6	bonemarrow7	bonemarrow8	bonemarrow9	bonemarrow10	meninges1	meninges2	meninges3	meninges4	meninges5	meninges6	meninges7	meninges8	meninges9	meninges10	input_rep1	input_rep2	input_rep3	d5_rep1	d5_rep2	d5_rep3	d15_rep1	d15_rep2	d15_rep3	plasmidlib
gRNA_4102	Fbxw7	469.0	2058.0	1781.0	470.0	1314.0	1595.0	1529.0	497.0	804.0	116.0	2703.0	130.0	1041.0	152.0	301.0	2463.0	1865.0	106.0	1660.0	20.0	159.0	79.0	63.0	43.0	410.0	114.0	1247.0	139.0	23.0	1306.0	570.0	1012.0	417.0	1283.0	992.0	308.0	312.0	562.0	744.0
gRNA_4103	Fbxw7	740.0	974.0	2469.0	1457.0	5558.0	4491.0	1181.0	3145.0	1695.0	188.0	208.0	3016.0	340.0	1455.0	7581.0	848.0	789.0	768.0	3188.0	98.0	2117.0	166.0	1100.0	95.0	176.0	332.0	22.0	898.0	40.0	647.0	529.0	285.0	511.0	923.0	1254.0	471.0	593.0	808.0	689.0
gRNA_4107	Fbxw7	739.0	930.0	1017.0	998.0	692.0	599.0	335.0	185.0	877.0	889.0	67.0	359.0	415.0	1014.0	69.0	3221.0	20.0	2065.0	360.0	104.0	10.0	26.0	969.0	779.0	1228.0	550.0	59.0	1121.0	235.0	1040.0	981.0	1128.0	1074.0	1449.0	1279.0	284.0	272.0	1578.0	918.0
gRNA_4108	Fbxw7	1555.0	1102.0	753.0	1530.0	1392.0	955.0	1915.0	789.0	2539.0	7791.0	649.0	261.0	1652.0	305.0	1013.0	357.0	307.0	493.0	908.0	89.0	1.0	74.0	61.0	20.0	187.0	49.0	1234.0	167.0	6.0	609.0	297.0	392.0	315.0	196.0	654.0	259.0	99.0	136.0	503.0
gRNA_4109	Fbxw7	757.0	618.0	671.0	998.0	672.0	1597.0	545.0	1204.0	1005.0	478.0	296.0	323.0	359.0	743.0	712.0	329.0	310.0	783.0	1600.0	134.0	138.0	13.0	82.0	40.0	246.0	74.0	97.0	1794.0	76.0	1009.0	1773.0	3339.0	1286.0	424.0	999.0	3007.0	588.0	1876.0	1185.0
gRNA_4110	Fbxw7	1474.0	1098.0	1484.0	838.0	1145.0	995.0	1235.0	1535.0	922.0	1604.0	291.0	1756.0	3324.0	56.0	299.0	426.0	662.0	601.0	507.0	4081.0	124.0	145.0	280.0	42.0	855.0	551.0	3682.0	458.0	355.0	457.0	1521.0	1206.0	614.0	332.0	904.0	1162.0	755.0	385.0	1233.0
gRNA_4112	Fbxw7	343.0	499.0	381.0	907.0	1318.0	1758.0	1841.0	1141.0	662.0	47.0	1767.0	203.0	41.0	250.0	404.0	189.0	387.0	882.0	2244.0	14.0	90.0	64.0	47.0	15.0	843.0	8948.0	435.0	74.0	315.0	793.0	1303.0	1867.0	3161.0	568.0	877.0	612.0	197.0	867.0	943.0
gRNA_4113	Fbxw7	2221.0	770.0	465.0	9641.0	243.0	2468.0	706.0	2306.0	686.0	543.0	596.0	639.0	1253.0	66.0	1782.0	305.0	72.0	108.0	1904.0	93.0	44.0	6.0	240.0	30.0	322.0	2331.0	138.0	4056.0	616.0	223.0	933.0	911.0	464.0	168.0	728.0	471.0	691.0	203.0	478.0
gRNA_4114	Fbxw7	1069.0	450.0	549.0	1475.0	343.0	321.0	1548.0	357.0	176.0	317.0	316.0	205.0	141.0	309.0	161.0	466.0	1177.0	2566.0	171.0	46.0	20.0	20.0	3131.0	269.0	579.0	133.0	8.0	984.0	28.0	1074.0	1523.0	1067.0	502.0	486.0	371.0	924.0	711.0	1204.0	932.0
gRNA_4115	Fbxw7	1331.0	308.0	193.0	492.0	394.0	374.0	38.0	136.0	1059.0	75.0	145.0	3.0	325.0	940.0	2410.0	12.0	175.0	630.0	1685.0	8.0	13.0	2310.0	104.0	4.0	137.0	298.0	91.0	389.0	36.0	903.0	312.0	179.0	103.0	128.0	407.0	675.0	79.0	701.0	292.0
gRNA_4120	Fbxw7	220.0	2652.0	1837.0	1453.0	1468.0	1268.0	363.0	1641.0	809.0	1504.0	1131.0	2076.0	1920.0	2108.0	1726.0	1270.0	531.0	14142.0	518.0	409.0	1791.0	125.0	95.0	171.0	2146.0	835.0	112.0	17.0	22.0	1864.0	1415.0	1848.0	1631.0	3485.0	1473.0	909.0	2671.0	2976.0	749.0
gRNA_4121	Fbxw7	1522.0	1201.0	1830.0	1108.0	2913.0	961.0	694.0	2211.0	1560.0	4584.0	336.0	344.0	5487.0	839.0	731.0	588.0	3824.0	375.0	2639.0	54.0	51.0	15.0	306.0	5700.0	455.0	123.0	17.0	278.0	118.0	529.0	946.0	1035.0	1213.0	2320.0	995.0	1417.0	1146.0	2548.0	760.0
gRNA_4122	Fbxw7	410.0	1915.0	961.0	9276.0	2373.0	1071.0	1857.0	468.0	1748.0	590.0	1308.0	408.0	6373.0	396.0	248.0	1426.0	68.0	693.0	3478.0	708.0	281.0	454.0	287.0	67.0	2488.0	830.0	39.0	43.0	114.0	581.0	1101.0	1549.0	1144.0	941.0	1106.0	1223.0	901.0	1607.0	1229.0
gRNA_4123	Fbxw7	4912.0	3147.0	3988.0	9299.0	6480.0	4650.0	4393.0	11025.0	3808.0	368.0	2730.0	644.0	14728.0	8450.0	1229.0	432.0	1643.0	2482.0	2705.0	227.0	6566.0	732.0	5066.0	494.0	1101.0	1183.0	870.0	843.0	118.0	1155.0	769.0	1424.0	2237.0	4175.0	3239.0	1522.0	2163.0	2253.0	1391.0
gRNA_4124	Fbxw7	4093.0	3271.0	4028.0	2959.0	2482.0	1825.0	2810.0	619.0	4054.0	929.0	1208.0	1351.0	116.0	341.0	2737.0	1420.0	1153.0	712.0	8888.0	28.0	14.0	75.0	296.0	120.0	197.0	327.0	51.0	1133.0	13898.0	1578.0	1853.0	3149.0	1193.0	1144.0	2612.0	3116.0	1455.0	2099.0	1682.0
gRNA_4125	Fbxw7	1596.0	13014.0	1725.0	808.0	1450.0	1734.0	3959.0	2478.0	3308.0	220.0	3297.0	1309.0	1807.0	1524.0	809.0	2782.0	3617.0	1032.0	1970.0	89.0	177.0	53.0	2339.0	684.0	749.0	427.0	1009.0	95.0	4890.0	5173.0	4138.0	5986.0	3078.0	2057.0	2606.0	2230.0	3120.0	2848.0	1880.0
gRNA_4126	Fbxw7	2285.0	1471.0	2837.0	5876.0	1690.0	1445.0	723.0	3108.0	1688.0	8763.0	715.0	1866.0	16289.0	599.0	1176.0	1122.0	7915.0	1230.0	2001.0	119.0	323.0	543.0	211.0	444.0	976.0	255.0	431.0	1486.0	75.0	1466.0	1153.0	2408.0	2716.0	327.0	1705.0	1578.0	2418.0	2389.0	1200.0
gRNA_4127	Fbxw7	412.0	11764.0	1050.0	263.0	223.0	210.0	497.0	368.0	1334.0	173.0	2665.0	940.0	106.0	268.0	274.0	8.0	306.0	190.0	4556.0	78.0	1573.0	1331.0	1473.0	91.0	282.0	103.0	14.0	14.0	195.0	1049.0	1502.0	1249.0	2164.0	1882.0	1621.0	1540.0	3786.0	1772.0	700.0
gRNA_4128	Fbxw7	431.0	1144.0	2131.0	868.0	2041.0	412.0	1503.0	3280.0	1051.0	769.0	419.0	207.0	2583.0	74.0	169.0	17.0	1964.0	522.0	1958.0	36110.0	11079.0	670.0	177.0	207.0	209.0	89.0	357.0	37.0	20.0	936.0	855.0	971.0	888.0	533.0	1633.0	1296.0	1965.0	880.0	648.0
gRNA_4129	Fbxw7	730.0	1813.0	2346.0	629.0	920.0	290.0	373.0	1005.0	1095.0	1452.0	3973.0	1244.0	26.0	30.0	564.0	753.0	279.0	268.0	1097.0	262.0	225.0	100.0	31.0	5625.0	683.0	282.0	1139.0	100.0	24.0	738.0	571.0	586.0	628.0	714.0	2090.0	364.0	932.0	1177.0	995.0
gRNA_4130	Fbxw7	2449.0	358.0	1499.0	1849.0	3063.0	2127.0	710.0	410.0	2241.0	269.0	15.0	307.0	779.0	7241.0	843.0	7781.0	169.0	398.0	1235.0	4897.0	14.0	9.0	8.0	52.0	112.0	139.0	144.0	19.0	10.0	1542.0	1896.0	1061.0	1364.0	1454.0	1139.0	532.0	396.0	730.0	781.0
gRNA_4131	Fbxw7	1322.0	1299.0	1675.0	911.0	2158.0	3655.0	3211.0	886.0	1221.0	317.0	1230.0	1188.0	1249.0	273.0	819.0	1135.0	1358.0	493.0	1105.0	2613.0	25.0	106.0	631.0	66.0	1330.0	353.0	17961.0	1806.0	5278.0	1012.0	2422.0	2313.0	6303.0	3190.0	2186.0	4729.0	3259.0	3843.0	1334.0
gRNA_4132	Fbxw7	794.0	123.0	220.0	395.0	614.0	197.0	6.0	204.0	311.0	316.0	481.0	66.0	10.0	1225.0	275.0	9.0	275.0	115.0	8.0	13.0	77.0	8.0	2.0	328.0	349.0	58.0	19.0	8.0	35.0	745.0	524.0	279.0	30.0	552.0	470.0	103.0	493.0	796.0	271.0
gRNA_4133	Fbxw7	1622.0	1634.0	7179.0	1200.0	2498.0	2532.0	1850.0	2585.0	1285.0	8400.0	1950.0	4457.0	1776.0	7151.0	377.0	3935.0	716.0	2585.0	1275.0	665.0	1735.0	188111.0	8247.0	411.0	1410.0	1906.0	2162.0	535.0	212.0	822.0	3500.0	2355.0	1335.0	1055.0	2703.0	1921.0	2514.0	1470.0	1410.0
gRNA_4134	Fbxw7	462.0	250.0	969.0	721.0	1490.0	284.0	1299.0	372.0	567.0	243.0	680.0	312.0	52.0	4238.0	93.0	469.0	165.0	417.0	165.0	569.0	509.0	462.0	35.0	30.0	1008.0	249.0	28.0	63.0	4.0	202.0	583.0	630.0	667.0	163.0	685.0	294.0	140.0	200.0	457.0
gRNA_4135	Fbxw7	1684.0	1883.0	2076.0	239.0	744.0	2505.0	678.0	1537.0	1164.0	504.0	108.0	2668.0	113.0	1881.0	5858.0	584.0	62.0	166.0	4231.0	22.0	420.0	29.0	28.0	4.0	299.0	239.0	12.0	528.0	17.0	2477.0	901.0	1036.0	101.0	204.0	800.0	502.0	791.0	1014.0	882.0
gRNA_4136	Fbxw7	1264.0	4109.0	4086.0	3404.0	1269.0	2374.0	6105.0	1948.0	3871.0	3391.0	2622.0	281.0	2273.0	264.0	840.0	2249.0	2713.0	4626.0	3714.0	1496.0	1787.0	667.0	282.0	29.0	136.0	274.0	85.0	1945.0	957.0	3310.0	4160.0	5033.0	4226.0	1425.0	2180.0	1054.0	5959.0	2881.0	1817.0
gRNA_4137	Fbxw7	435.0	1345.0	985.0	1188.0	615.0	569.0	1277.0	1600.0	132.0	21.0	273.0	601.0	201.0	1633.0	557.0	3427.0	176.0	968.0	230.0	10.0	301.0	240.0	301.0	25.0	476.0	113.0	7.0	9.0	3914.0	927.0	1156.0	1756.0	2247.0	542.0	815.0	689.0	124.0	678.0	821.0
gRNA_4138	Fbxw7	729.0	1488.0	1062.0	1679.0	3183.0	2805.0	1936.0	897.0	1438.0	503.0	412.0	96.0	4569.0	460.0	644.0	1038.0	406.0	939.0	1014.0	35.0	488.0	1994.0	185.0	326.0	2431.0	5934.0	680.0	903.0	27.0	1444.0	396.0	455.0	230.0	182.0	1002.0	515.0	463.0	350.0	602.0
gRNA_4139	Fbxw7	1633.0	1786.0	271.0	711.0	1727.0	467.0	1386.0	1255.0	1209.0	2772.0	1818.0	107.0	2552.0	1328.0	110.0	480.0	1563.0	336.0	2982.0	6195.0	2308.0	167.0	1762.0	1330.0	47.0	68.0	8.0	864.0	233.0	311.0	1040.0	681.0	351.0	892.0	944.0	148.0	833.0	289.0	531.0
gRNA_4140	Fbxw7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	7.0	9.0	7.0	8.0	8.0	0.0	27.0	46.0
gRNA_4145	Fbxw7	2179.0	1246.0	2057.0	2831.0	4646.0	2101.0	637.0	1461.0	672.0	1923.0	2009.0	943.0	1708.0	5032.0	495.0	1095.0	558.0	1494.0	948.0	307.0	16.0	422.0	74.0	710.0	3584.0	663.0	895.0	103.0	309.0	2159.0	1610.0	3487.0	1373.0	1133.0	2770.0	2310.0	733.0	986.0	1270.0
gRNA_4146	Fbxw7	1876.0	2665.0	2735.0	430.0	1751.0	4369.0	1390.0	896.0	1112.0	9053.0	2915.0	4349.0	95.0	100.0	954.0	2393.0	2572.0	397.0	2036.0	22.0	29.0	6840.0	565.0	168.0	174.0	172.0	17.0	8.0	1692.0	2098.0	1522.0	1350.0	1518.0	2419.0	1133.0	3413.0	2083.0	2150.0	1095.0
gRNA_4147	Fbxw7	1508.0	8058.0	2372.0	3905.0	2242.0	2480.0	6412.0	4350.0	4327.0	318.0	2459.0	1461.0	7052.0	3406.0	1660.0	1598.0	2254.0	1868.0	3613.0	209.0	224.0	15181.0	899.0	61.0	156.0	40591.0	2395.0	3627.0	46323.0	3248.0	2089.0	1698.0	2570.0	742.0	3302.0	2366.0	3709.0	2402.0	1821.0
gRNA_4148	Fbxw7	366.0	1152.0	609.0	304.0	852.0	136.0	142.0	89.0	700.0	241.0	2097.0	958.0	41.0	416.0	20.0	29.0	39.0	64.0	10.0	4.0	29.0	5.0	9.0	113.0	221.0	67.0	22.0	222.0	67.0	331.0	648.0	356.0	278.0	50.0	792.0	209.0	1124.0	1170.0	329.0
gRNA_4149	Fbxw7	616.0	360.0	150.0	805.0	518.0	642.0	756.0	460.0	385.0	344.0	44.0	500.0	635.0	1643.0	57.0	1261.0	139.0	9.0	450.0	24.0	10.0	3.0	738.0	1015.0	248.0	57.0	119.0	4584.0	122.0	680.0	614.0	502.0	257.0	79.0	911.0	155.0	546.0	683.0	658.0
gRNA_4150	Fbxw7	97.0	179.0	276.0	1212.0	275.0	101.0	354.0	243.0	474.0	37.0	196.0	37.0	1006.0	8.0	379.0	153.0	3.0	264.0	523.0	90.0	6.0	116.0	65.0	48.0	476.0	101.0	96.0	548.0	16.0	172.0	157.0	143.0	53.0	78.0	725.0	726.0	205.0	111.0	376.0
gRNA_4151	Fbxw7	2049.0	2118.0	2787.0	4108.0	7084.0	2000.0	4310.0	2466.0	2179.0	588.0	535.0	2341.0	3451.0	3879.0	1485.0	3194.0	2251.0	3006.0	1256.0	241.0	34.0	7168.0	512.0	2296.0	552.0	3312.0	1416.0	4813.0	2123.0	2039.0	2339.0	2818.0	2460.0	1381.0	3649.0	3008.0	1096.0	2631.0	1805.0
gRNA_4152	Fbxw7	114.0	641.0	569.0	561.0	801.0	1492.0	260.0	102.0	294.0	53.0	279.0	12.0	1114.0	2092.0	37.0	9.0	396.0	240.0	553.0	7.0	40.0	9.0	8.0	3.0	86.0	212.0	16.0	8.0	5470.0	322.0	516.0	972.0	1519.0	2319.0	728.0	894.0	504.0	225.0	521.0
gRNA_4153	Fbxw7	1572.0	705.0	430.0	576.0	1525.0	445.0	26.0	996.0	586.0	1049.0	356.0	214.0	368.0	586.0	25.0	12.0	398.0	58.0	2110.0	10.0	14.0	5.0	9.0	71.0	2742.0	599.0	3081.0	289.0	9.0	517.0	416.0	306.0	178.0	93.0	1051.0	154.0	879.0	342.0	621.0
gRNA_4154	Fbxw7	636.0	2356.0	1863.0	1248.0	1720.0	537.0	1110.0	1339.0	1680.0	365.0	646.0	201.0	1870.0	2636.0	53.0	441.0	602.0	10904.0	394.0	25.0	44.0	218.0	51.0	235.0	118.0	3119.0	231.0	4.0	11.0	1937.0	1207.0	1388.0	679.0	630.0	1371.0	351.0	2119.0	1042.0	671.0
gRNA_4155	Fbxw7	159.0	170.0	1019.0	459.0	14.0	1289.0	539.0	313.0	340.0	437.0	100.0	183.0	40.0	1.0	684.0	3603.0	16.0	46.0	20.0	183.0	4.0	25.0	244.0	17.0	180.0	48.0	4230.0	1196.0	41.0	301.0	1401.0	817.0	132.0	112.0	891.0	347.0	1678.0	675.0	630.0
gRNA_4156	Fbxw7	586.0	756.0	1543.0	1973.0	1786.0	433.0	1005.0	594.0	1598.0	175.0	210.0	491.0	2249.0	1315.0	102.0	2034.0	1411.0	289.0	1198.0	49.0	3.0	42.0	841.0	75.0	551.0	123.0	2.0	1.0	6.0	416.0	700.0	483.0	127.0	104.0	1087.0	168.0	1265.0	349.0	750.0
gRNA_4157	Fbxw7	166.0	502.0	1839.0	1093.0	3530.0	3058.0	4588.0	6787.0	566.0	47.0	2656.0	961.0	901.0	853.0	571.0	9659.0	84.0	619.0	472.0	25.0	75.0	149.0	32.0	186.0	82.0	39.0	731.0	78.0	8.0	524.0	455.0	348.0	1146.0	599.0	892.0	502.0	495.0	845.0	755.0
gRNA_4158	Fbxw7	2515.0	4221.0	2449.0	3387.0	1823.0	710.0	4048.0	912.0	962.0	1657.0	1378.0	721.0	783.0	767.0	1241.0	3540.0	473.0	4975.0	847.0	144.0	30.0	47.0	313.0	3938.0	63.0	19859.0	3407.0	627.0	12854.0	687.0	912.0	716.0	1325.0	1162.0	2319.0	718.0	1469.0	1157.0	736.0
gRNA_4159	Fbxw7	1189.0	1517.0	1295.0	1013.0	498.0	1404.0	1395.0	1034.0	741.0	1121.0	890.0	421.0	89.0	70.0	322.0	64.0	1693.0	225.0	525.0	17.0	321.0	84.0	612.0	22028.0	35120.0	6808.0	49.0	385.0	67.0	3040.0	3454.0	2268.0	2904.0	883.0	2119.0	2936.0	5359.0	2976.0	1629.0
gRNA_4160	Fbxw7	138.0	185.0	234.0	809.0	105.0	48.0	497.0	591.0	835.0	341.0	70.0	272.0	374.0	12.0	16.0	3338.0	884.0	217.0	624.0	66.0	12.0	7.0	16.0	73.0	297.0	82.0	527.0	51.0	9.0	802.0	620.0	550.0	1552.0	2387.0	1139.0	451.0	952.0	1779.0	1078.0
gRNA_4161	Fbxw7	2428.0	921.0	1384.0	891.0	869.0	1041.0	1585.0	1083.0	2708.0	11134.0	2892.0	399.0	539.0	97.0	2556.0	196.0	1206.0	144.0	735.0	48.0	25.0	4254.0	347.0	23.0	119.0	127.0	4922.0	5832.0	1805.0	869.0	835.0	1121.0	2431.0	2635.0	548.0	692.0	435.0	222.0	1075.0
gRNA_4162	Fbxw7	292.0	1342.0	2425.0	939.0	894.0	1194.0	2033.0	301.0	713.0	677.0	3116.0	7818.0	820.0	612.0	369.0	656.0	624.0	792.0	5695.0	21.0	2876.0	215.0	343.0	21.0	3905.0	831.0	53.0	11.0	30.0	1216.0	953.0	957.0	1552.0	359.0	1180.0	1301.0	439.0	864.0	1111.0
gRNA_4163	Fbxw7	1506.0	1735.0	1789.0	1633.0	4532.0	2166.0	951.0	1632.0	771.0	689.0	1097.0	1821.0	527.0	856.0	174.0	1827.0	605.0	1216.0	1234.0	155.0	258.0	125.0	77.0	19.0	315.0	3831.0	200.0	38.0	145.0	941.0	1247.0	3112.0	5052.0	4128.0	1632.0	3699.0	1600.0	1566.0	1062.0
gRNA_4164	Fbxw7	1176.0	2088.0	566.0	704.0	1122.0	2773.0	1712.0	775.0	2398.0	255.0	2418.0	972.0	647.0	1605.0	1091.0	4263.0	533.0	141.0	26445.0	70.0	22.0	14.0	108.0	79.0	211.0	2124.0	293.0	293.0	416.0	1042.0	962.0	1559.0	2261.0	5141.0	1195.0	1815.0	1593.0	1028.0	1092.0
gRNA_4165	Fgf15	1284.0	2138.0	5417.0	4298.0	506.0	2004.0	1765.0	1310.0	1701.0	579.0	1264.0	10725.0	4787.0	611.0	1680.0	1129.0	624.0	7095.0	3020.0	91.0	1676.0	987.0	21197.0	1370.0	497.0	281.0	49.0	139.0	64.0	2699.0	3832.0	3238.0	2657.0	1792.0	3032.0	5739.0	4552.0	3557.0	1673.0
gRNA_4166	Fgf3	2605.0	3288.0	7120.0	2431.0	1969.0	3540.0	2713.0	1644.0	1930.0	1456.0	1403.0	1895.0	4345.0	5594.0	1276.0	1760.0	913.0	1053.0	4549.0	104.0	39425.0	4892.0	261.0	744.0	307.0	593.0	243.0	2097.0	234.0	4280.0	2888.0	3350.0	1521.0	823.0	2373.0	1858.0	3196.0	2954.0	1257.0
gRNA_4167	Fgf3	5876.0	2138.0	965.0	1195.0	1956.0	1017.0	3377.0	1492.0	1754.0	5802.0	2101.0	469.0	415.0	506.0	1802.0	4691.0	524.0	5013.0	982.0	212.0	192.0	21.0	102.0	157.0	98.0	54.0	11.0	425.0	409.0	1584.0	3054.0	2899.0	1311.0	1469.0	2473.0	1466.0	874.0	642.0	1256.0
gRNA_4168	Fgf3	417.0	1476.0	547.0	1166.0	2715.0	568.0	653.0	1012.0	1697.0	250.0	670.0	920.0	1717.0	2586.0	3303.0	509.0	2061.0	3209.0	1235.0	15.0	82.0	1061.0	2395.0	176.0	272.0	178.0	4039.0	362.0	2671.0	1548.0	849.0	1029.0	3604.0	1380.0	1828.0	5423.0	7393.0	7401.0	608.0
gRNA_4169	Fgf3	3873.0	6774.0	2087.0	3288.0	2819.0	1651.0	1356.0	2382.0	1572.0	1205.0	9349.0	910.0	270.0	650.0	2187.0	710.0	2143.0	787.0	2450.0	288.0	48.0	4190.0	6447.0	4688.0	816.0	14497.0	694.0	1016.0	560.0	2152.0	4077.0	4189.0	5101.0	3153.0	2432.0	4417.0	4026.0	3539.0	1975.0
gRNA_4170	Fgf3	744.0	1876.0	1134.0	1414.0	330.0	2693.0	1704.0	564.0	1127.0	598.0	2378.0	262.0	4820.0	109.0	371.0	3128.0	456.0	2066.0	778.0	671.0	142.0	14.0	306.0	39.0	811.0	279.0	108.0	49.0	12.0	1701.0	1124.0	2942.0	1227.0	537.0	2762.0	3087.0	870.0	1997.0	1087.0
gRNA_4171	Fgf3	1455.0	1415.0	2242.0	1965.0	2639.0	1149.0	376.0	3813.0	1341.0	941.0	467.0	416.0	474.0	141.0	582.0	1690.0	619.0	839.0	1252.0	495.0	246.0	188.0	69.0	65.0	7298.0	1378.0	18.0	12374.0	501.0	961.0	527.0	572.0	159.0	110.0	918.0	547.0	1120.0	281.0	734.0
gRNA_4172	Fgf3	1727.0	4630.0	4879.0	1556.0	3485.0	1938.0	2553.0	3458.0	2678.0	3158.0	3109.0	694.0	2658.0	419.0	2723.0	2194.0	9789.0	3864.0	1519.0	32.0	23.0	706.0	8483.0	599.0	579.0	186.0	937.0	76.0	78.0	1292.0	2925.0	3352.0	2115.0	1058.0	3493.0	2190.0	3681.0	3701.0	1655.0
gRNA_4173	Fgf3	81.0	506.0	693.0	297.0	591.0	154.0	214.0	1082.0	513.0	100.0	208.0	231.0	931.0	224.0	283.0	294.0	528.0	57.0	3915.0	18.0	3.0	157.0	58.0	411.0	161.0	51.0	2.0	1.0	3.0	634.0	629.0	480.0	707.0	501.0	1007.0	325.0	75.0	194.0	410.0
gRNA_4174	Fgf3	1202.0	3538.0	1485.0	561.0	3509.0	771.0	1365.0	836.0	520.0	1522.0	1769.0	847.0	225.0	472.0	2596.0	1847.0	233.0	613.0	990.0	67.0	144.0	184.0	38.0	577.0	817.0	441.0	735.0	718.0	4114.0	2485.0	2272.0	2926.0	3250.0	994.0	2178.0	2366.0	1294.0	1535.0	1453.0
gRNA_4175	Fgf3	807.0	1335.0	565.0	457.0	77.0	255.0	16.0	186.0	134.0	860.0	570.0	101.0	34.0	1040.0	9.0	2.0	178.0	1686.0	142.0	22.0	5.0	335.0	22.0	302.0	3.0	34.0	687.0	63.0	678.0	1019.0	844.0	669.0	1176.0	195.0	690.0	514.0	496.0	177.0	439.0
gRNA_4176	Fgf3	1136.0	986.0	275.0	258.0	791.0	900.0	95.0	260.0	158.0	203.0	259.0	301.0	193.0	27.0	331.0	39.0	166.0	653.0	286.0	61.0	24.0	73.0	8.0	54.0	136.0	58.0	84.0	150.0	257.0	1864.0	895.0	1410.0	263.0	265.0	273.0	317.0	126.0	443.0	1369.0
gRNA_4177	Fgf3	2614.0	1640.0	2089.0	1035.0	2469.0	3677.0	1789.0	811.0	1238.0	1622.0	1128.0	254.0	3437.0	1545.0	1721.0	136.0	1159.0	4123.0	3400.0	106.0	115.0	97.0	248.0	30.0	213.0	66.0	10.0	4.0	449.0	1961.0	1113.0	1880.0	378.0	729.0	875.0	780.0	310.0	1574.0	1264.0
gRNA_4178	Fgf3	592.0	3725.0	2382.0	1055.0	2449.0	1393.0	1106.0	200.0	548.0	279.0	377.0	306.0	1968.0	135.0	411.0	1307.0	78.0	9.0	801.0	59.0	105.0	139.0	787.0	1509.0	118.0	69.0	23.0	12.0	21.0	1465.0	2319.0	3170.0	4141.0	864.0	2116.0	2674.0	2901.0	2307.0	1213.0
gRNA_4179	Fgf3	1892.0	446.0	2028.0	3368.0	565.0	1406.0	1569.0	792.0	2348.0	405.0	1093.0	805.0	199.0	821.0	6568.0	513.0	781.0	626.0	6383.0	152.0	137.0	2316.0	326.0	42.0	321.0	31515.0	1793.0	5527.0	39456.0	824.0	1209.0	1255.0	927.0	761.0	1800.0	1686.0	737.0	1586.0	1296.0
gRNA_4180	Fgf3	307.0	1025.0	977.0	1561.0	1631.0	1921.0	1314.0	1422.0	926.0	28.0	95.0	259.0	877.0	1165.0	129.0	545.0	277.0	4084.0	965.0	13.0	18.0	16.0	217.0	276.0	4655.0	6703.0	366.0	4.0	346.0	978.0	1213.0	1240.0	182.0	151.0	1021.0	366.0	374.0	858.0	777.0
gRNA_4181	Fgf3	724.0	1026.0	1076.0	1010.0	1379.0	659.0	464.0	369.0	997.0	865.0	464.0	1630.0	261.0	241.0	92.0	328.0	145.0	2108.0	4465.0	7.0	77.0	44.0	71.0	215.0	380.0	102.0	6.0	7.0	9.0	465.0	851.0	1065.0	1245.0	233.0	1220.0	1250.0	398.0	600.0	1160.0
gRNA_4182	Fgf3	1851.0	833.0	399.0	2785.0	2983.0	1019.0	354.0	1323.0	710.0	1076.0	1064.0	85.0	3785.0	4170.0	882.0	3312.0	1785.0	2798.0	562.0	83.0	1863.0	101.0	1318.0	100.0	366.0	70.0	182.0	100.0	12.0	584.0	657.0	522.0	1053.0	252.0	946.0	377.0	631.0	257.0	882.0
gRNA_4183	Fgf3	972.0	1831.0	3337.0	1265.0	1109.0	540.0	2929.0	1361.0	2082.0	1309.0	201.0	6030.0	102.0	2411.0	2132.0	903.0	1502.0	1148.0	1144.0	108.0	4035.0	252.0	25.0	262.0	715.0	172.0	41.0	516.0	169.0	975.0	1475.0	805.0	744.0	301.0	1862.0	962.0	607.0	1431.0	1594.0
gRNA_4184	Fgf3	254.0	297.0	2634.0	475.0	1335.0	345.0	2182.0	428.0	553.0	932.0	1029.0	1355.0	941.0	446.0	43.0	357.0	169.0	431.0	317.0	17.0	94.0	43.0	1768.0	858.0	96.0	25537.0	1432.0	27.0	275.0	1279.0	963.0	675.0	912.0	1285.0	563.0	983.0	1733.0	2342.0	595.0
gRNA_4185	Fgf3	1681.0	1646.0	1074.0	942.0	1846.0	2230.0	984.0	793.0	1011.0	902.0	1702.0	322.0	610.0	904.0	12864.0	1140.0	658.0	1192.0	577.0	54.0	3322.0	185.0	123.0	209.0	341.0	3913.0	583.0	131.0	42.0	1925.0	2874.0	3852.0	2018.0	586.0	1494.0	1610.0	2276.0	1317.0	2000.0
gRNA_4186	Fgf3	2707.0	4374.0	1919.0	3604.0	3166.0	1426.0	886.0	1258.0	2153.0	7302.0	20144.0	1219.0	1458.0	4045.0	2617.0	1375.0	880.0	12002.0	5284.0	53.0	702.0	162.0	291.0	365.0	8223.0	1911.0	52.0	138.0	74.0	1003.0	1984.0	3812.0	3538.0	5012.0	3328.0	3422.0	1620.0	1999.0	2022.0
